timestamp,src_ip,pkt_count,byte_count,pkts_per_sec,bytes_per_sec,unique_dst_ips,unique_dst_ports,avg_pkt_size,std_ias,syn_count,syn_ratio,arp_req,arp_rep,mac_changes
1763683002.4574041,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0011416506468969443,2,0.5,0,0,2
1763683002.4808724,10.0.1.10,8,568,0.8,56.8,3,3,71.0,0.0639653006608599,0,0.0,0,0,5
1763683002.5030334,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683003.5397348,10.0.1.10,2,140,0.2,14.0,1,1,70.0,0,0,0.0,0,0,1
1763683003.5497928,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683004.6144397,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.0019471038895300132,2,0.5,0,0,2
1763683004.6242173,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0020958845790567983,2,0.5,0,0,2
1763683004.6857963,10.0.1.10,6,436,0.6,43.6,3,3,72.66666666666667,0.2300215460883085,0,0.0,0,0,4
1763683004.7468355,10.0.1.11,3,346,0.3,34.6,1,1,115.33333333333333,0.0014775991439819336,1,0.3333333333333333,0,0,0
1763683005.8103642,10.0.1.10,2,0,0.2,0.0,0,0,0.0,0,0,0,0,0,0
1763683005.8205109,10.0.1.11,1,0,0.1,0.0,0,0,0.0,0,0,0,0,0,0
1763683005.849718,10.0.1.12,1,0,0.1,0.0,0,0,0.0,0,0,0,0,0,0
1763683006.8703365,10.0.2.10,6,420,0.6,42.0,1,1,70.0,0.2355939445874597,2,0.5,0,0,4
1763683006.8812342,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683006.9223976,10.0.1.10,9,502,0.9,50.2,3,3,55.77777777777778,0.1280561506384381,0,0.0,0,0,5
1763683006.9542432,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683007.9777696,10.0.1.10,4,280,0.4,28.0,2,2,70.0,0.06920733546325665,0,0.0,0,0,1
1763683007.9862485,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683008.0118623,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683009.0336814,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683009.0433943,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683009.0710912,10.0.1.10,6,428,0.6,42.8,2,2,71.33333333333333,0.06025005427481823,0,0.0,0,0,3
1763683010.0938606,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683010.1037805,10.0.1.10,6,420,0.6,42.0,2,2,70.0,0.12100910124886154,0,0.0,0,0,3
1763683010.1281633,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683011.1496503,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.002501271399151795,2,0.5,0,0,2
1763683011.1557145,10.0.1.10,4,288,0.4,28.8,2,2,72.0,0.06843569313749939,0,0.0,0,0,1
1763683011.180843,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683012.203956,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683012.2133164,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683012.2387307,10.0.1.10,8,568,0.8,56.8,3,3,71.0,0.14858157631935756,0,0.0,0,0,4
1763683012.2733364,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683013.2826862,10.0.2.10,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
1763683013.291978,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0008704263716085694,2,0.5,0,0,2
1763683013.3206758,10.0.1.1,1,42,0.1,4.2,0,0,42.0,0,0,0,0,1,0
1763683013.3656294,10.0.1.10,9,634,0.9,63.4,3,3,70.44444444444444,0.06365689665073243,0,0.0,0,0,7
1763683013.3904207,10.0.1.11,1,42,0.1,4.2,0,0,42.0,0,0,0,1,0,0
1763683013.4075482,10.0.1.12,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,0
1763683015.4327772,10.0.2.10,4,148,0.4,14.8,1,1,37.0,0.3279074587430535,2,1.0,0,0,4
1763683015.438755,10.0.2.11,4,420,0.4,42.0,1,1,105.0,0.0014452926967231231,2,0.5,0,0,2
1763683015.470047,10.0.1.10,8,568,0.8,56.8,3,3,71.0,0.2204469756520616,0,0.0,0,0,3
1763683015.4888334,10.0.1.11,3,74,0.3,7.4,1,1,24.666666666666668,0.004439234733581543,1,1.0,0,0,1
1763683016.512712,10.0.1.10,3,206,0.3,20.6,1,1,68.66666666666667,0.0018998384475708008,0,0.0,0,0,1
1763683016.52184,10.0.1.11,1,74,0.1,7.4,1,1,74.0,0,1,1.0,0,0,1
1763683017.549028,10.0.2.10,4,420,0.4,42.0,1,1,105.0,0.001261340928812032,2,0.5,0,0,2
1763683017.5825832,10.0.2.11,2,148,0.2,14.8,1,1,74.0,0,2,1.0,0,0,2
